Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Tennessee Total Estimate,,"620,744","72,269","220,641","266,393","61,441","4,527,198","216,289","374,024","1,465,937","959,498","328,595","756,055","426,800",(X),(X),"886,029","807,452","275,380","837,897","753,731","241,376","1,758,017","1,542,708","448,092","1,045,255","832,994","218,007",,"3,646,786","3,198,800","983,625","3,522,010","3,116,440","962,624","696,665","591,132","135,414","13,412","10,655","1,963","76,429","65,939","42,087","2,434","2,077",526,"36,963","20,810","4,292","54,509","47,472","14,948","168,404","106,955","25,059",,(X),(X),(X),(X),,"34,346","21,156","27,292","32,327","46,065","56,454"
Texas Total Estimate,,"2,795,622","421,608","905,685","1,220,472","247,857","17,775,280","1,529,632","1,506,376","4,474,711","3,869,300","1,259,574","3,362,678","1,773,009",(X),(X),"4,061,590","3,547,482","1,228,026","3,748,838","3,102,265","1,161,753","6,612,009","5,466,520","1,880,822","3,352,843","2,623,005","865,086",,"13,436,720","11,178,080","3,932,068","8,537,887","7,973,248","3,209,090","2,097,614","1,868,624","485,127","86,895","66,529","15,160","883,132","773,543","500,722","15,520","13,441","2,801","950,136","574,968","103,614","305,263","264,087","96,195","6,024,554","3,909,892","855,442",,(X),(X),(X),(X),,"36,691","21,720","27,774","35,933","52,967","69,803"
Utah Total Estimate,,"346,126","42,271","106,080","174,998","22,777","1,783,244","51,995","95,408","404,605","472,108","178,193","381,130","199,805",(X),(X),"448,034","415,611","150,480","410,026","372,594","146,801","605,694","554,924","182,767","319,490","292,712","100,887",,"1,570,964","1,476,148","532,568","1,460,142","1,393,386","516,086","17,317","14,565","3,872","17,415","15,074","1,887","46,290","39,876","21,875","15,028","13,494","1,783","87,224","50,511","8,724","29,006","26,173","10,226","206,718","140,662","27,068",,(X),(X),(X),(X),,"37,171","25,501","30,923","34,015","47,164","70,026"
Vermont Total Estimate,,"66,347","6,238","20,940","31,474","7,695","439,563","11,087","23,483","128,767","75,872","40,499","92,871","66,984",(X),(X),"71,885","65,879","28,322","70,519","66,243","29,099","183,559","171,176","63,253","113,600","101,695","39,181",,"419,821","387,626","153,079","415,204","383,557","151,365","4,087","3,698","1,111",N,N,N,"6,184","5,141","3,129",N,N,N,N,N,N,"6,116","5,688","1,877","6,269","5,482","2,226",,(X),(X),(X),(X),,"37,965","26,125","31,471","35,937","42,338","57,297"
Virginia Total Estimate,,"823,075","87,711","251,929","377,064","106,371","5,721,173","247,576","366,738","1,372,836","1,116,669","438,669","1,241,751","936,934",(X),(X),"1,152,326","1,065,540","473,137","1,094,657","999,750","470,353","2,246,145","2,014,882","851,257","1,228,045","1,026,687","383,938",,"4,027,719","3,668,329","1,635,509","3,757,704","3,465,110","1,563,590","1,050,527","902,707","244,718","16,576","14,502","4,363","367,796","325,623","218,907","5,534","4,631","1,589","133,859","83,804","22,632","119,162","107,263","50,967","426,580","306,119","100,715",,(X),(X),(X),(X),,"42,006","23,061","30,524","36,778","56,324","80,559"
Washington Total Estimate,,"662,384","100,490","201,749","280,925","79,220","4,996,555","192,181","266,656","1,111,786","1,178,772","491,450","1,098,509","657,201",(X),(X),"1,074,803","987,942","400,634","944,034","846,384","363,340","1,898,905","1,732,782","641,749","1,078,813","970,610","349,987",,"3,954,098","3,687,273","1,407,567","3,720,765","3,523,553","1,365,104","169,496","145,542","42,699","56,970","47,515","7,783","426,803","372,510","224,252","29,505","24,898","3,427","183,132","100,309","19,353","176,551","159,671","50,629","450,014","291,134","68,709",,(X),(X),(X),(X),,"41,887","25,151","32,077","37,295","58,262","72,335"
West Virginia Total Estimate,,"162,462","20,307","56,707","72,301","13,147","1,291,757","57,435","123,866","512,228","233,677","95,794","162,243","106,514",(X),(X),"216,104","194,683","55,524","222,599","200,169","55,426","509,279","443,373","99,810","343,775","272,231","57,997",,"1,217,471","1,046,117","249,514","1,208,012","1,038,888","247,670","45,474","40,059","8,714","2,637","1,388",125,"9,521","9,226","6,377",N,N,N,"4,693","3,646","1,153","11,557","9,788","2,869","13,952","10,482","2,382",,(X),(X),(X),(X),,"31,970","20,512","26,122","31,038","42,318","54,743"
Wisconsin Total Estimate,,"560,389","60,137","177,350","258,286","64,616","3,933,329","106,804","210,940","1,222,607","812,391","420,412","758,503","401,672",(X),(X),"730,022","681,539","260,404","685,711","633,986","237,199","1,590,335","1,478,829","440,332","927,261","821,231","222,240",,"3,489,696","3,260,423","1,061,273","3,375,616","3,177,030","1,040,667","208,081","170,641","31,364","32,447","27,386","5,325","90,165","74,901","43,497",N,N,N,"67,221","41,910","5,510","44,569","39,548","12,979","192,070","132,727","28,219",,(X),(X),(X),(X),,"38,599","24,238","31,233","36,035","50,323","62,487"
Wyoming Total Estimate,,"53,847","8,584","17,450","24,230","3,583","390,794","5,751","20,940","114,624","97,961","45,601","67,845","38,072",(X),(X),"80,974","76,422","22,037","72,132","68,022","21,374","150,105","140,863","39,186","87,583","78,796","23,320",,"365,750","342,348","100,078","341,979","324,388","97,415",N,N,N,"7,248","6,163","1,081",N,N,N,N,N,N,"3,945","2,503",418,"7,234","6,791","1,359","30,415","22,977","3,354",,(X),(X),(X),(X),,"37,164","23,969","31,491","34,750","47,322","59,833"
Puerto Rico Total Estimate,,"343,234","30,949","93,150","187,109","32,026","2,372,197","370,922","207,689","657,523","298,426","237,746","433,120","166,771",(X),(X),"413,129","372,641","122,870","440,352","381,686","138,429","872,831","695,620","239,395","645,885","343,639","99,197",,"1,599,336","1,226,239","434,801","25,435","22,286","9,843","281,447","208,722","55,833","5,524","4,032","1,137","4,434","3,285",727,N,N,N,"381,768","274,934","84,130","99,688","76,374","23,263","2,340,141","1,766,559","588,494",,(X),(X),(X),(X),,"18,115","10,485","14,745","16,531","24,860","36,168"
